Document ID,Title,Creator,Description (Portuguese),Date,First Year,Last Year,Type,Collection,Provider,Material,Fabrication Method,Rights,Required Statement,Width,Height,Document URL,Media URL
001AAN005136,Jardim Botânico,Autoria não identificada,"Vegetação do Jardim Botânico. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79139,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005136/full/max/0/default.jpg
001AAN005137,Jardim Botânico,Autoria não identificada,"Aleia de palmeiras no Jardim Botânico. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79140,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005137/full/max/0/default.jpg
001AAN005138,Jardim Botânico,Autoria não identificada,"Aleia de palmeiras no Jardim Botânico. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79141,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005138/full/max/0/default.jpg
001AAN005139,Templo Neoclássico,Autoria não identificada,"Após a demolição do Templo, na década de 1930, foi transposto para o mesmo local, em 1940, o Portal da Real Academia de Belas Artes.Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79142,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005139/full/max/0/default.jpg
001AAN005140,Jardim Botânico,Autoria não identificada,"Estátua no interior do Jardim Botânico. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79143,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005140/full/max/0/default.jpg
001AAN005141,Vista do Pão de Açúcar,Autoria não identificada,"Pão de Açúcar visto de Santa Tereza. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79144,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005141/full/max/0/default.jpg
001AAN005142,Vista da lagoa Rodrigo de Freitas,Autoria não identificada,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com a lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79145,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005142/full/max/0/default.jpg
001AAN005143,Vista da lagoa Rodrigo de Freitas,Autoria não identificada,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com a lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79171,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005143/full/max/0/default.jpg
001AAN005144,Vista de rua comercial,Autoria não identificada,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79146,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005144/full/max/0/default.jpg
001AAN005145,"Vista da lagoa Rodrigo de Freitas, Ipanema e Leblon.",Autoria não identificada,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79147,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005145/full/max/0/default.jpg
001AAN005146,Vista da enseada de Botafogo e Pão de Açúcar a partir do Corcovado,Autoria não identificada,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79148,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005146/full/max/0/default.jpg
001AAN005147,Vista do Pão de Açúcar,Autoria não identificada,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79172,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005147/full/max/0/default.jpg
001AAN005148,Entrada da Barra,Autoria não identificada,"A entrada da Barra vista da Baía de Guanabara com Corcovado ao fundo. À esquerda, o forte de Santa Cruz. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79149,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005148/full/max/0/default.jpg
001AAN005149,Vista do Pão de Açúcar,Autoria não identificada,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79173,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005149/full/max/0/default.jpg
001AAN005150,Baía de Guanabara,Autoria não identificada,"Vista da cidade a partir da baía de Guanabara. À direita, Ilha Fiscal, as torres sineiras e a cúpula da igreja da Candelária. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79150,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005150/full/max/0/default.jpg
001AAN005151,Vista do Pão de Açúcar,Autoria não identificada,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1908,1909,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79151,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005151/full/max/0/default.jpg
001AAN014010,Entrada da Baía de Guanabara,Marc Ferrez,"Entrada externa da baía de Guanabara, vista de Niterói, tendo ao fundo a cadeia montanhosa da cidade.",circa 1880,1875,1885,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,218,150,http://acervos.ims.com.br/portals/#/detailpage/70881,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN014010/full/max/0/default.jpg
001AAN014011,Escola Militar,Marc Ferrez,"A Escola Militar tem suas origens relacionadas à Escola Politécnica, antiga Escola Central, localizada no Largo de São Francisco de Paula no prédio erguido especialmente para abrigar uma escola de ensino superior. A Escola Politécnica estava ligada a Academia Real Militar, depois Escola Militar, transferida em 1812 da Casa do Trem para o Largo de São Francisco. Em 1851 passou pela primeira grande reforma, que a dividiu em duas: a Escola Militar propriamente dita e a de Aplicação, instalada provisoriamente na fortaleza de São João. Posteriormente, graças à intervenção do Ministro da Guerra Jerônimo Coelho, a Escola Militar passou a denominar-se Central, dedicada especialmente ao aperfeiçoamento científico dos seus alunos, e a de Aplicação, na Praia Vermelha, transformou-se em 1859 em Militar e de Aplicação. Em 1874, a totalidade do ensino militar passou para a escola da Praia Vermelha.",circa 1880,1875,1885,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,218,150,http://acervos.ims.com.br/portals/#/detailpage/88533,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN014011/full/max/0/default.jpg
001AAN014015,Vista do Porto do Rio desde o Morro do Castelo,Marc Ferrez,"Vista da praça Dom Pedro II, atual XV de Novembro, e do porto da cidade, a partir do Morro do Castelo.",circa 1885,1880,1890,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,218,150,http://acervos.ims.com.br/portals/#/detailpage/70886,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN014015/full/max/0/default.jpg
001AAN014016,Praça XV de Novembro,Marc Ferrez,"A Praça D. Pedro II passou a ser assim chamada no Segundo Reinado. Apesar disso, a área era chamada pela população - até pelo menos o início do século XX -  Largo do Paço, por causa do palácio real, e depois imperial, mandado construir por Gomes Freire (futuro Conde de Bobadela) no século XVIII. Foi inicialmente destinado a ser sede do governo e casa dos governadores. Seus alicerces foram fincados em frente ao convento do Carmo, no lugar antes ocupado pela Casa da Moeda. A praça também já havia sido chamada Largo do Rócio e Terreiro da Polé (porque ali ficava o pelourinho, popularmente chamado polé). Em 1889, com a Proclamação da República, a praça passa definitivamente a chamar-se Praça XV de Novembro. A praça foi remodelada em 1894, ganhando um novo jardim com um monumento em homenagem à memória do General Osório, feita por Rodolfo Bernardelli.",1897,1897,1897,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,218,150,http://acervos.ims.com.br/portals/#/detailpage/88536,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN014016/full/max/0/default.jpg
001ACL017002,Largo do Paço visto do morro do Castelo,Georges Leuzinger,"Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente.",circa 1865,1865,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,240,192,http://acervos.ims.com.br/portals/#/detailpage/79082,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL017002/full/max/0/default.jpg
001ACL017006,"Largo de São Francisco, em destaque, a real Academia Militar",Georges Leuzinger,"A Academia que vemos ao centro foi criada em 1810 a partir de parte da obra inacabada da Sé da cidade, que começou a ser levantada em 1750. O próprio prédio militar só ficou pronto entre 1820 e 1830. Destinado a abrigar instituições educacionais do país, nos anos subseqüentes o espaço foi usado pela Escola Militar (1842), Escola Politécnica (1874) e durante todo o século XX e XXI pelo IFCS-UFRJ (Instituto de Filosofia e Ciências Sociais da Universidade Federal do Rio de Janeiro. Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente.",circa 1865,1860,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,240,192,http://acervos.ims.com.br/portals/#/detailpage/76243,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL017006/full/max/0/default.jpg
001ACL017018,"Cemitério São João Batista, Botafogo e Pão de Açúcar, da chácara do sr. Rocha",Georges Leuzinger,"Botafogo, centro açucareiro no século XVIII, fazia parte da freguesia de São João Batista da Lagoa. Na foto vemos a rua General Polidoro, uma das primeiras do bairro, aberta junto ao Morro da Quinta do Vigário Geral (propriedade do padre Clemente de Matos). À General Polidoro foram acrescidos o Caminho Novo de São Joaquim (atual Voluntários da Pátria), em 1826; a rua Real Grandeza, paralela à moldura da foto; a rua de Todos os Santos (atual Mena Barreto); e a rua São João Batista. O Cemitério São João Batista foi construído em 1852. Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente",circa 1866,1865,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,240,192,http://acervos.ims.com.br/portals/#/detailpage/79083,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL017018/full/max/0/default.jpg
001ACL017022,Hotel Bennett,Georges Leuzinger,"Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente",circa 1865,1865,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,192,240,http://acervos.ims.com.br/portals/#/detailpage/79084,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL017022/full/max/0/default.jpg
001ACL017029,Praia de Botafogo,Georges Leuzinger,"Vista da Praia de Botafogo e seu rico casario. Podemos ver ao fundo os morros do Corcovado e Dois Irmãos e a Pedra da Gávea.Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente.",circa 1865,1865,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,240,192,http://acervos.ims.com.br/portals/#/detailpage/105514,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL017029/full/max/0/default.jpg
001ACL018002,Rio de Janeiro tomado da Ilha das Cobras,Georges Leuzinger,,circa 1870,1865,1875,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Photogravure,,Provided by Instituto Moreira Salles,740,188,http://acervos.ims.com.br/portals/#/detailpage/70974,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL018002/full/max/0/default.jpg
001ACL018004,Vista de Botafogo,Georges Leuzinger,,circa 1870,1865,1875,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Photogravure,,Provided by Instituto Moreira Salles,742,183,http://acervos.ims.com.br/portals/#/detailpage/70972,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL018004/full/max/0/default.jpg
001ACL019001,"Palácio Nova Friburgo, atual Palácio do Catete",Autoria não identificada,"O palácio foi construído para residência do Barão de Nova Friburgo e sua família, entre 1866 e 1890, quando tornou-se o Palácio do Catete, residência dos presidentes republicanos, entre 1897 e 1960. Atualmente, ali funciona o Museu da República.Integra o ""Álbum da Família Leuzinger"" formado por 162 itens diversos.",1866,1866,1866,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,225,176,http://acervos.ims.com.br/portals/#/detailpage/79165,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL019001/full/max/0/default.jpg
001ACL019003,Vista panorâmica do Centro,Georges Leuzinger,"Vista do Centro do Rio de Janeiro, da Ponta do Calabouço à Alfândega, a partir da Ilha das Cobras.Integra o ""Álbum da Família Leuzinger"" formado por 162 itens diversos.",circa 1865,1860,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,401,275,http://acervos.ims.com.br/portals/#/detailpage/79166,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL019003/full/max/0/default.jpg
001ACL019004,Cais Pharoux e adjacências,Georges Leuzinger,"Vista panorâmica da marinha da cidade, a partir da ilha das Cobras. Vê-se a igreja da Candelária, com a cúpula ainda em construção.Integra o ""Álbum da Família Leuzinger"" formado por 162 itens diversos.",circa 1865,1860,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,402,274,http://acervos.ims.com.br/portals/#/detailpage/79085,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL019004/full/max/0/default.jpg
001ACL019005,"Palácio Nova Friburgo, Atual Museu da República",Georges Leuzinger,"O atual Museu da República está sediado em um prédio construído para servir de residência ao  Barão de Nova Friburgo, Antônio Clemente Pinto, comerciante e fazendeiro de café. A construção, iniciada em 1858, foi concluída nove anos depois. Mais tarde, com o advento da República, em 1897, o palacete tornou-se o símbolo da República brasileira ao servir de sede do Poder Executivo e palácio presidencial, logo sendo conhecido com Palácio do Catete. Integra o ""Álbum da Família Leuzinger"" formado por 162 itens diversos.",circa 1866,1861,1871,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,240,189,http://acervos.ims.com.br/portals/#/detailpage/79167,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL019005/full/max/0/default.jpg
001ACL019007,Vista de casarios e barcos,Autoria não identificada,"Integra o ""Álbum da Família Leuzinger"" formado por 162 itens diversos.",circa 1865,1860,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,368,270,http://acervos.ims.com.br/portals/#/detailpage/102573,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL019007/full/max/0/default.jpg
001ACL019009,"Vista da região central da cidade, a partir do Morro do Livramento.",Georges Leuzinger,"Pode-se ver o Quartel, a Estação da Central do Brasil e o Campo da Aclamação. Integra o ""Álbum da Família Leuzinger"" formado por 162 itens diversos.",circa 1865,1860,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,400,275,http://acervos.ims.com.br/portals/#/detailpage/79086,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL019009/full/max/0/default.jpg
001ACL019014,Ilha de Boa Viagem,Autoria não identificada,"A Ilha da Boa Viagem localiza-se no interior da baía de Guanabara, na cidade de Niterói, estado do Rio de Janeiro, no Brasil. É ocupada pela Capela de Nossa Senhora da Boa Viagem, sobranceira às águas da Guanabara, erguida no século XVIII, no ponto mais elevado da ilha, pelo Provedor da Fazenda Real, Diogo Carvalho da Fontoura, fruto de uma promessa, em agradecimento por uma graça recebida. O dia da padroeira era festejado na capela votiva com celebração de missa e romaria tanto por marinheiros quanto por viajantes.Integra o ""Álbum da Família Leuzinger"" formado por 162 itens diversos.",1866,1866,1866,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,382,274,http://acervos.ims.com.br/portals/#/detailpage/79168,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL019014/full/max/0/default.jpg
001ACL019026,Vista do Saco da Gamboa,Georges Leuzinger,"Vista do Saco da Gamboa, vendo-se à direita o Mercado da Harmonia e, ao fundo, o Morro da Conceição. Integra o ""Álbum da Família Leuzinger"" formado por 162 itens diversos.",circa 1865,1860,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,370,271,http://acervos.ims.com.br/portals/#/detailpage/79087,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL019026/full/max/0/default.jpg
001ACL019029,Vista de área aterrada e de fábrica de gás,Georges Leuzinger,"Integra o ""Álbum da Família Leuzinger"" formado por 162 itens diversos.",circa 1865,1860,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,390,274,http://acervos.ims.com.br/portals/#/detailpage/102574,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL019029/full/max/0/default.jpg
