Document ID[19474],Title[19462],Creator[1603501],Description (Portuguese)[1612567],Date[19486],First Year[19466],Last Year[19467],Type[1604106],Collections[1711006],Provider[1731287],Material[1612569],Fabrication Method[1612568],Rights[1861241],Required Statement[19484],Width[1604102],Height[1604103],Document URL[796463],Media URL
001MC001002,"Enseada de Botafogo, Avenida Beira-Mar e o Morro do Pão de Açucar",,,circa 1912,1912,1917,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Photogravure,,Provided by Instituto Moreira Salles,132,81,http://acervos.ims.com.br/portals/#/detailpage/105521,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001MC001002/full/max/0/default.jpg
001MC001005,"Cais Pharoux; ao fundo, uma das torres do Mercado Municipal do Rio de Janeiro",,,circa 1912,1912,1917,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Photogravure,,Provided by Instituto Moreira Salles,132,81,http://acervos.ims.com.br/portals/#/detailpage/105522,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001MC001005/full/max/0/default.jpg
001MC001006,Teatro Municipal,,,circa 1912,1912,1917,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Photogravure,,Provided by Instituto Moreira Salles,132,81,http://acervos.ims.com.br/portals/#/detailpage/105523,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001MC001006/full/max/0/default.jpg
001MC001007,Praça Marechal Floriano; Teatro Municipal e Escola Nacional de Belas Artes,,,circa 1912,1912,1917,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Photogravure,,Provided by Instituto Moreira Salles,132,81,http://acervos.ims.com.br/portals/#/detailpage/105524,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001MC001007/full/max/0/default.jpg
001MC001009,Avenida Rio Branco,,,circa 1912,1912,1917,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Photogravure,,Provided by Instituto Moreira Salles,132,81,http://acervos.ims.com.br/portals/#/detailpage/105525,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001MC001009/full/max/0/default.jpg
001MF003006,"Praça da Constituição, atual Praça Tiradentes; estátua equestre de D. Pedro I",Marc Ferrez,"Estátua eqüestre de D. Pedro I na Praça da Constituição, atual Praça Tiradentes. A estátua foi feita na França por Louis Rochet, cujo assistente era Augusto Rodin. Em 1861 Rochet montou o monumento na praça, e quatro anos depois foi instalado o gradil em ferro fundido que circunda a estátua, executado pelo artista Miguel Couto dos Santos. A praça era inicialmente conhecida como Rocio ou Rocio Grande, depois Terreiro da Polé e Campo dos Ciganos (por ter sido um dos primeiros locais onde se instalaram os ciganos na cidade). Em 26 de fevereiro de 1821 foi palco do juramento, por D. João VI, da futura Constituição que seria votada pelas Cortes de Lisboa; a partir daí, mudou o nome para Praça da Constituição. Após a Proclamação da República, ainda em 1889, foi sugerido que mudasse o nome para Praça Tiradentes, prontamente atendido pela Câmara.",circa 1870,1868,1873,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,53,86,http://acervos.ims.com.br/portals/#/detailpage/105526,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001MF003006/full/max/0/default.jpg
001RJ001002,"Jardim Botânico, Leblon e Gávea, vistos do alto do Morro do Corcovado; destaque para o Jockey Club do Rio de Janeiro",,"Praia do Leblon, morro Dois Irmãos, Jockey Club e Jardim Botânico.",circa 1930,1926,1935,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,155,215,http://acervos.ims.com.br/portals/#/detailpage/105527,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001RJ001002/full/max/0/default.jpg
001RJ004002,Bondinho do Pão de Açúcar,,Vista do Pão de Açucar e do Bondinho.,circa 1920,1912,1925,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,215,155,http://acervos.ims.com.br/portals/#/detailpage/105528,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001RJ004002/full/max/0/default.jpg
001RR001004,"Rua Primeiro de Março, à esquerda, a Capela Imperial (Igreja de Nossa Senhora do Carmo, depois Catedral Metropolitana)",A. Ribeiro,,circa 1905,1905,1910,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Collotype Print,,Provided by Instituto Moreira Salles,88,115,http://acervos.ims.com.br/portals/#/detailpage/105529,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001RR001004/full/max/0/default.jpg
001RR004005,Theatro Municipal,A. Ribeiro,,circa 1910,1910,1915,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Collotype Print,,Provided by Instituto Moreira Salles,139,90,http://acervos.ims.com.br/portals/#/detailpage/105530,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001RR004005/full/max/0/default.jpg
002001MF002001,"Vista da região da Praça Dom Pedro II, atual Praça XV de Novembro; a partir do Morro do Castelo",Marc Ferrez,,circa 1885,1880,1890,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,347,160,http://acervos.ims.com.br/portals/#/detailpage/101435,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002001MF002001/full/max/0/default.jpg
002001MF002003,Vista do Bairro do Flamengo e do Morro do Pão de Açucar,Marc Ferrez,"Vista da entrada do Rio e do bairro do Flamengo, com os morros Cara de Cão e Pão de Açúcar, ao fundo. À direita, no centro da imagem, a entrada da enseada de Botafogo. À esquerda, pode-se ver a Igreja de Nossa Senhora da Glória, no largo do Machado.",circa 1890,1885,1895,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,218,145,http://acervos.ims.com.br/portals/#/detailpage/101436,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002001MF002003/full/max/0/default.jpg
002001MF002004,Vista das docas e do Arsenal da Marinha,Marc Ferrez,"Vista das docas e armazéns do porto, na região da Rua Visconde de Itaboraí, e da Igreja da Candelária.",circa 1890,1885,1895,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,216,146,http://acervos.ims.com.br/portals/#/detailpage/101437,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002001MF002004/full/max/0/default.jpg
002008NV002,"Obras na Avenida Central, atual Rio Branco",Autoria não identificada,,circa 1905,1903,1906,Photograph,Views,Instituto Moreira Salles,Glass Plate Negative,Gelatin Silver,,Provided by Instituto Moreira Salles,240,180,http://acervos.ims.com.br/portals/#/detailpage/105568,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002008NV002/full/max/0/default.jpg
002037AAK5078,Sede regional da Empresa Brasileira de Correios e Telégrafos,Alfredo Krausz,,circa 1930,1925,1935,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,,,http://acervos.ims.com.br/portals/#/detailpage/105552,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002037AAK5078/full/max/0/default.jpg
002055RevdaArmada002,Revolta da armada - Armação,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,268,190,http://acervos.ims.com.br/portals/#/detailpage/20968,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada002/full/max/0/default.jpg
002055RevdaArmada004,Revolta da armada - Armação,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,271,188,http://acervos.ims.com.br/portals/#/detailpage/20969,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada004/full/max/0/default.jpg
002055RevdaArmada006,Revolta da armada - Gragoatá,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,270,165,http://acervos.ims.com.br/portals/#/detailpage/17483,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada006/full/max/0/default.jpg
002055RevdaArmada009,Revolta da armada,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,272,190,http://acervos.ims.com.br/portals/#/detailpage/20972,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada009/full/max/0/default.jpg
002055RevdaArmada011,Revolta da armada,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,272,174,http://acervos.ims.com.br/portals/#/detailpage/20974,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada011/full/max/0/default.jpg
002055RevdaArmada014,Revolta da armada,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,269,166,http://acervos.ims.com.br/portals/#/detailpage/20977,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada014/full/max/0/default.jpg
002055RevdaArmada039,Revolta da armada - Arsenal de Marinha,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,268,167,http://acervos.ims.com.br/portals/#/detailpage/17490,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada039/full/max/0/default.jpg
002055RevdaArmada047,Revolta da armada - Alfândega,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,270,159,http://acervos.ims.com.br/portals/#/detailpage/21033,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada047/full/max/0/default.jpg
002055RevdaArmada048,Revolta da armada,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,272,172,http://acervos.ims.com.br/portals/#/detailpage/20985,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada048/full/max/0/default.jpg
002055RevdaArmada055,Revolta da armada,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,271,172,http://acervos.ims.com.br/portals/#/detailpage/21001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada055/full/max/0/default.jpg
002055RevdaArmada065,Revolta da armada - Gragoatá,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,271,182,http://acervos.ims.com.br/portals/#/detailpage/21008,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada065/full/max/0/default.jpg
002055RevdaArmada068,Revolta da armada - Ilha Fiscal,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,271,186,http://acervos.ims.com.br/portals/#/detailpage/21011,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada068/full/max/0/default.jpg
002055RevdaArmada070,Revolta da armada - Entrada da Barra da Baía de Guanabara vista de Icaraí,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,268,159,http://acervos.ims.com.br/portals/#/detailpage/21013,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada070/full/max/0/default.jpg
002055RevdaArmada077,Revolta da armada - Fortaleza de São João,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,271,186,http://acervos.ims.com.br/portals/#/detailpage/21017,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada077/full/max/0/default.jpg
002055RevdaArmada080,Revolta da armada - Fortaleza de São João,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,271,188,http://acervos.ims.com.br/portals/#/detailpage/21020,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada080/full/max/0/default.jpg
002055RevdaArmada081,Revolta da armada - Fortaleza de São João,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,271,187,http://acervos.ims.com.br/portals/#/detailpage/21021,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada081/full/max/0/default.jpg
002055RevdaArmada082,Revolta da armada - Fortaleza de São João,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,271,199,http://acervos.ims.com.br/portals/#/detailpage/21022,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada082/full/max/0/default.jpg
002055RevdaArmada083,Revolta da armada - Fortaleza de São João,Juan Gutierrez,,circa 1893,1891,1894,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,271,189,http://acervos.ims.com.br/portals/#/detailpage/21023,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002055RevdaArmada083/full/max/0/default.jpg
002073LM006,Estátua equestre do General Osório,Luiz Musso,,circa 1903,1898,1908,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,164,225,http://acervos.ims.com.br/portals/#/detailpage/107530,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002073LM006/full/max/0/default.jpg
002080RJ2707,Igreja de Santo Inácio do Colégio dos Jesuítas,Guilherme Santos,,circa 1925,1921,1928,Photograph|Stereoscopy,Views,Instituto Moreira Salles,Glass Diapositive,Gelatin Silver,,Provided by Instituto Moreira Salles,110,45,http://acervos.ims.com.br/portals/#/detailpage/105553,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002080RJ2707/full/max/0/default.jpg
002080RJ2903,Igreja de Santo Inácio do Colégio dos Jesuítas e a entrada do Observatório Nacional,Guilherme Santos,A Igreja dos Jesuítas foi construída em 1567.,1924,1924,1924,Photograph|Stereoscopy,Views,Instituto Moreira Salles,Glass Diapositive,Gelatin Silver,,Provided by Instituto Moreira Salles,110,45,http://acervos.ims.com.br/portals/#/detailpage/105555,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002080RJ2903/full/max/0/default.jpg
002080RJ2905,Portal da Igreja de Santo Inácio do Colégio dos Jesuítas,Guilherme Santos,A Igreja dos Jesuítas foi construída em 1567.,1922,1922,1922,Photograph|Stereoscopy,Views,Instituto Moreira Salles,Glass Diapositive,Gelatin Silver,,Provided by Instituto Moreira Salles,110,45,http://acervos.ims.com.br/portals/#/detailpage/105554,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002080RJ2905/full/max/0/default.jpg
002080RJ5915,"Jubileu Sacerdotal do Cardeal Arcoverde, escoteiros em frente à Catedral aguardam a chegada do Cardeal",Guilherme Santos,,03/05/1924,1924,1924,Photograph|Stereoscopy,Views,Instituto Moreira Salles,Glass Diapositive,Gelatin Silver,,Provided by Instituto Moreira Salles,110,45,http://acervos.ims.com.br/portals/#/detailpage/104053,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002080RJ5915/full/max/0/default.jpg
002080RJ9106,Banhistas na Praia de Copacabana,Guilherme Santos,,circa 1930,1925,1935,Photograph|Stereoscopy,Views,Instituto Moreira Salles,Glass Diapositive,Gelatin Silver,,Provided by Instituto Moreira Salles,110,45,http://acervos.ims.com.br/portals/#/detailpage/105556,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002080RJ9106/full/max/0/default.jpg
002080RJN0519,Igreja de Santo Inácio do Colégio dos Jesuítas e a entrada do Observatório Nacional,Guilherme Santos,,1924,1924,1924,Photograph|Stereoscopy,Views,Instituto Moreira Salles,Glass Plate Negative,Gelatin Silver,,Provided by Instituto Moreira Salles,110,45,http://acervos.ims.com.br/portals/#/detailpage/105557,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002080RJN0519/full/max/0/default.jpg
002095RJ001001,Vista aérea da Glória e do Centro; Praça Paris (ao centro) e a Igreja de Nossa Senhora da Glória do Outeiro (na parte inferior),,,circa 1929,1926,1934,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,203,164,http://acervos.ims.com.br/portals/#/detailpage/105596,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001001/full/max/0/default.jpg
002095RJ001003,"Vista aérea da Glória e do Centro - destaque para a Praça Paris, ao centro",,,circa 1929,1926,1934,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,200,165,http://acervos.ims.com.br/portals/#/detailpage/105597,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001003/full/max/0/default.jpg
002095RJ001006,"Centro e Glória - aterramento e construção da Praça Paris; à direita, o Palácio Monroe",,,1926,1926,1926,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,202,164,http://acervos.ims.com.br/portals/#/detailpage/105598,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001006/full/max/0/default.jpg
002095RJ001007,Vista aérea do Centro - aterramento,,,circa 1926,1926,1929,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,204,165,http://acervos.ims.com.br/portals/#/detailpage/105574,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001007/full/max/0/default.jpg
002095RJ001008,Vista aérea do Canal do Mangue,,,circa 1929,1926,1934,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,203,164,http://acervos.ims.com.br/portals/#/detailpage/105573,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001008/full/max/0/default.jpg
002095RJ001009,Vista aérea da Avenida Rio Branco,,,circa 1926,1926,1929,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,202,165,http://acervos.ims.com.br/portals/#/detailpage/105575,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001009/full/max/0/default.jpg
002095RJ001010,Vista aérea do Centro - região portuária,,,circa 1929,1926,1934,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,203,164,http://acervos.ims.com.br/portals/#/detailpage/105576,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001010/full/max/0/default.jpg
002095RJ001011,Vista aérea de Copacabana - Hotel Copacabana Palace,,,circa 1926,1926,1929,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,203,164,http://acervos.ims.com.br/portals/#/detailpage/105577,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001011/full/max/0/default.jpg
002095RJ001012,Ressaca na Avenida Beira-Mar,Augusto Malta,,04/07/1925,1925,1925,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,228,174,http://acervos.ims.com.br/portals/#/detailpage/105578,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001012/full/max/0/default.jpg
002095RJ001013,Ressaca na Praia do Leme,Augusto Malta,,04/09/1921,1921,1921,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,228,169,http://acervos.ims.com.br/portals/#/detailpage/105579,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001013/full/max/0/default.jpg
002095RJ001014,Ressaca na praia de Copacabana,Augusto Malta,,04/09/1921,1921,1921,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,227,168,http://acervos.ims.com.br/portals/#/detailpage/105580,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001014/full/max/0/default.jpg
002095RJ001015,Ressaca na praia de Copacabana,Augusto Malta,,17/10/1924,1924,1924,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,226,168,http://acervos.ims.com.br/portals/#/detailpage/105581,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001015/full/max/0/default.jpg
002095RJ001016,Ressaca na praia de Copacabana,Augusto Malta,,17/10/1924,1924,1924,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,225,168,http://acervos.ims.com.br/portals/#/detailpage/105582,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001016/full/max/0/default.jpg
002095RJ001017,Ressaca na praia de Copacabana,Augusto Malta,,17/10/1924,1924,1924,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,226,169,http://acervos.ims.com.br/portals/#/detailpage/105583,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001017/full/max/0/default.jpg
002095RJ001018,Ressaca na praia de Copacabana,Augusto Malta,,17/10/1924,1924,1924,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,228,170,http://acervos.ims.com.br/portals/#/detailpage/105584,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001018/full/max/0/default.jpg
002095RJ001019,Ressaca na praia do Flamengo,Augusto Malta,,04/07/1925,1925,1925,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,228,173,http://acervos.ims.com.br/portals/#/detailpage/105585,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001019/full/max/0/default.jpg
002095RJ001020,Ressaca na praia do Flamengo,Augusto Malta,,05/07/1925,1925,1925,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,228,174,http://acervos.ims.com.br/portals/#/detailpage/105586,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001020/full/max/0/default.jpg
002095RJ001021,Ressaca na praia do Flamengo,Augusto Malta,,05/07/1925,1925,1925,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,228,173,http://acervos.ims.com.br/portals/#/detailpage/105587,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001021/full/max/0/default.jpg
002095RJ001022,Avenida Beira-Mar na altura do Flamengo,Augusto Malta,,28/08/1928,1928,1928,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,228,170,http://acervos.ims.com.br/portals/#/detailpage/105588,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/002095RJ001022/full/max/0/default.jpg
