qid,P31,P31_a,Lpt-br,Dpt-br,Den,P571,qal1319,qal1326,P17,P1259,qal2044,qal7787,qal8208,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
,Q125191,Q35158,Aterramento da Praia da Saudade,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.94602/-43.16041|P2044|43.30104U11573|P7787|-79.57915U28390|P8208|85.14249U28390,,,,Q55088608,Q97570383,Q71989864,002080RJN1213,Q172984,45.0U28390,110U174789,45U174789,88833
,Q125191,Q35158,Ministério da Marinha e Mosteiro de São Bento,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.89902/-43.17629|P2044|17.03945U11573|P7787|-50.61296U28390|P8208|86.92221U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN01,Q172984,45.0U28390,110U174789,45U174789,83631
,Q125191,Q35158,"Vista do Rio de Janeiro a partir do Rio Comprido; ao fundo, o Morro do Pão de Açúcar",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1917-01-01T00:00:00Z/8|P580|+1912-01-01T00:00:00Z/9|P582|+1922-01-01T00:00:00Z/9,,,Q155,@-22.93666/-43.21931|P2044|385.8224U11573|P7787|91.96519U28390|P8208|82.78452U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN02,Q172984,45.0U28390,110U174789,45U174789,90823
,Q125191,Q35158,Vista da cidade; tomada do Morro do Castelo,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1917-01-01T00:00:00Z/8|P580|+1912-01-01T00:00:00Z/9|P582|+1922-01-01T00:00:00Z/9,,,Q155,@-22.90799/-43.17318|P2044|64.04303U11573|P7787|-61.92483U28390|P8208|88.49429U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN03,Q172984,45.0U28390,110U174789,45U174789,83634
,Q125191,Q35158,"Bairro da Glória, entrada da Baía de Guanabara e Pão de Açúcar; tomados de Santa de Tereza",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.91822/-43.1814|P2044|90.11859U11573|P7787|128.54757U28390|P8208|82.50269U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN04,Q172984,42.23U28390,110U174789,45U174789,83632
,Q125191,Q35158,Bairro da Glória e Pão de Açúcar; tomados de Santa Teresa,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.91831/-43.17932|P2044|70.80879U11573|P7787|135.89206U28390|P8208|90.81133U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN06,Q172984,45.0U28390,110U174789,45U174789,83633
,Q125191,Q35158,Vista da cidade; tomada das proximidades da Estrada do Sumaré,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.95173/-43.2363|P2044|708.44034U11573|P7787|91.31076U28390|P8208|87.03655U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN07,Q172984,45.0U28390,110U174789,45U174789,83635
,Q125191,Q35158,Morro do Cantagalo,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.91369/-43.17564|P2044|8.61249U11573|P7787|-141.53704U28390|P8208|90.22449U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN08,Q172984,45.0U28390,110U174789,45U174789,87158
,Q125191,Q35158,Igreja de São Sebastião do Rio de Janeiro,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1917-01-01T00:00:00Z/8|P580|+1912-01-01T00:00:00Z/9|P582|+1922-01-01T00:00:00Z/9,,,Q155,@-22.9086/-43.17241|P2044|44.51084U11573|P7787|-89.29392U28390|P8208|99.56671U28390,,,,Q55088608,Q97570383,Q71989864,002080Vol01Cx0316,Q172984,45.0U28390,110U174789,45U174789,83652
,Q125191,Q35158,Explanada do Castelo; obras para a Exposição de 1922,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1922-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1923-01-01T00:00:00Z/9,,,Q155,@-22.90852/-43.17309|P2044|59.78152U11573|P7787|169.60099U28390|P8208|90.8993U28390,,,,Q55088608,Q97570383,Q71989864,002080Vol01Cx0308,Q172984,45.0U28390,110U174789,45U174789,83651
,Q125191,Q35158,Avião hidro-anfíbio na Baía de Guanabara,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1947-01-01T00:00:00Z/8|P580|+1942-01-01T00:00:00Z/9|P582|+1952-01-01T00:00:00Z/9,,,Q155,@-22.90268/-43.16637|P2044|7.56555U11573|P7787|174.73078U28390|P8208|83.14332U28390,,,,Q55088608,Q97570383,Q71989864,002080Vol01Cx0305,Q172984,45.0U28390,110U174789,45U174789,83648
,Q125191,Q35158,"Cúpula de edifício e, ao fundo, o Teatro Municipal; tomados da Rua de Santa Luzia, esquina com a Avenida Central (atual Rio Branco)",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.9114/-43.1751|P2044|31.52404U11573|P7787|-23.02715U28390|P8208|86.84768U28390,,,,Q55088608,Q97570383,Q71989864,002080Vol01Cx0304,Q172984,45.0U28390,110U174789,45U174789,83650
,Q125191,Q35158,Mercado Municipal da Praça XV de Novembro,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.90305/-43.1713|P2044|8.93605U11573|P7787|133.04601U28390|P8208|94.95825U28390,,,,Q55088608,Q97570383,Q71989864,002080Vol01Cx0302,Q172984,45.0U28390,110U174789,45U174789,83649
,Q125191,Q35158,Os edifícios do Jockey Club e do Derby Club,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.90806/-43.17683|P2044|8.63598U11573|P7787|112.06091U28390|P8208|97.10881U28390,,,,Q55088608,Q97570383,Q71989864,002080Vol01Cx0301,Q172984,45.0U28390,110U174789,45U174789,83647
,Q125191,Q35158,Largo da Carioca,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1910-01-01T00:00:00Z/8|P580|+1905-01-01T00:00:00Z/9|P582|+1915-01-01T00:00:00Z/9,,,Q155,@-22.90676/-43.1782|P2044|11.53543U11573|P7787|171.62661U28390|P8208|95.47068U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0710,Q172984,45.0U28390,110U174789,45U174789,90822
,Q125191,,Chegada da família real da Bélgica ao Rio de Janeiro,Fotografia de Jorge Kfuri (007ALA058),Photograph by Jorge Kfuri (007ALA058),+1920-09-19T00:00:00Z/11|P580|+1916-01-01T00:00:00Z/9|P582|+1926-01-01T00:00:00Z/9,,,Q155,@-22.89494/-43.18061|P2044|36.62335U11573|P7787|-166.83583U28390|P8208|71.03607U28390,,,,Q63166336,Q56055236,Q71989864,007ALA058,Q172984,45.01U28390,170U174789,119U174789,82502
,Q125191,Q35158,Morros da Glória e do Pão de Açúcar; vistos do terraço do jardim do Passeio Público,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.91392/-43.17593|P2044|12.07375U11573|P7787|167.36201U28390|P8208|84.38269U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN16,Q172984,45.0U28390,110U174789,45U174789,83640
,Q125191,Q35158,Vista da cidade; tomada a partir do Morro de Sumaré,Fotografia de Guilherme Santos (002080RJSN15),Photograph by Guilherme Santos (002080RJSN15),+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.93305/-43.21986|P2044|319.68805U11573|P7787|58.45884U28390|P8208|91.80699U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN15,Q172984,45.0U28390,110U174789,45U174789,83639
,Q125191,Q35158,Vista da Baía de Guanabara; tomada da Ilha de Boa Viagem,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.91073/-43.13071|P2044|61.70081U11573|P7787|83.15407U28390|P8208|84.81377U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN14,Q172984,45.0U28390,110U174789,45U174789,83641
,Q125191,Q35158,Vista da cidade; tomada a partir do Morro de Sumaré,Fotografia de Guilherme Santos (002080RJSN12),Photograph by Guilherme Santos (002080RJSN12),+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.93167/-43.22213|P2044|344.15074U11573|P7787|53.60596U28390|P8208|82.47676U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN12,Q172984,45.0U28390,110U174789,45U174789,83637
,Q125191,Q35158,Estátua equestre de Dom Pedro I,Fotografia de Guilherme Santos (002080RJSN11),Photograph by Guilherme Santos (002080RJSN11),+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.90678/-43.18313|P2044|1.43246U11573|P7787|109.01118U28390|P8208|95.55266U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN11,Q172984,45.0U28390,110U174789,45U174789,83638
,Q125191,Q35158,"Porto, Mercado Municipal e, ao fundo, o Morro do Castelo",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.90129/-43.17337|P2044|8.675U11573|P7787|-170.41825U28390|P8208|83.67868U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN10,Q172984,45.0U28390,110U174789,45U174789,83636
,Q125191,Q35158,Vista do Rio de Janeiro a partir da Floresta da Tijuca,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1917-01-01T00:00:00Z/8|P580|+1912-01-01T00:00:00Z/9|P582|+1922-01-01T00:00:00Z/9,,,Q155,@-22.94192/-43.27086|P2044|545.90859U11573|P7787|72.17548U28390|P8208|85.03086U28390,,,,Q55088608,Q97570383,Q71989864,002080RJSN17,Q172984,45.0U28390,110U174789,45U174789,90824
,Q125191,Q35158,Praça Onze de Junho; monumento em homenagem a Getúlio Vargas,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1949-01-01T00:00:00Z/8|P580|+1944-01-01T00:00:00Z/9|P582|+1954-01-01T00:00:00Z/9,,,Q155,@-22.90652/-43.19439|P2044|14.62697U11573|P7787|-89.86716U28390|P8208|85.25751U28390,,,,Q55088608,Q97570383,Q71989864,002080Vol01Cx0317,Q172984,45.0U28390,110U174789,45U174789,83653
,Q125191,Q35158,Rua Primeiro de Março,Fotografia de Guilherme Santos (002080RJN0709),Photograph by Guilherme Santos (002080RJN0709),+1920-01-01T00:00:00Z/8|P580|+1917-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.90133/-43.17643|P2044|7.82365U11573|P7787|150.51151U28390|P8208|96.46166U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0709,Q172984,45.0U28390,110U174789,45U174789,90818
,Q125191,Q35158,"Hotel Avenida, situado na Avenida Rio Branco",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.90637/-43.1772|P2044|9.07752U11573|P7787|-169.85583U28390|P8208|100.30095U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0707,Q172984,45.0U28390,110U174789,45U174789,88746
,Q125191,Q35158,"Banhistas na praia do Flamengo; ao fundo, o Morro do Pão de Açúcar",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.93338/-43.17423|P2044|9.04763U11573|P7787|142.73749U28390|P8208|85.45063U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ8204,Q172984,45.0U28390,110U174789,45U174789,88740
,Q125191,Q35158,"Banhistas na praia do Flamengo; ao fundo, o morro do Pão de Açúcar",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.93343/-43.17423|P2044|8.92605U11573|P7787|137.74796U28390|P8208|89.8923U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ8211,Q172984,45.0U28390,110U174789,45U174789,88741
,Q125191,Q35158,Sede do jornal O Paiz,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1927-01-01T00:00:00Z/8|P580|+1922-01-01T00:00:00Z/9|P582|+1932-01-01T00:00:00Z/9,,,Q155,@-22.90488/-43.17765|P2044|7.62683U11573|P7787|-160.89532U28390|P8208|101.36562U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ8218,Q172984,45.0U28390,110U174789,45U174789,83621
,Q125191,Q35158,Vista noturna de Niterói a partir do Morro do Corcovado,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.95187/-43.21005|P2044|705.06456U11573|P7787|58.7474U28390|P8208|88.09U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ8304,Q172984,45.0U28390,110U174789,45U174789,88829
,Q125191,Q35158,Bairro da Glória e Morro do Corcovado; a partir de Santa Teresa,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.92061/-43.1826|P2044|89.06352U11573|P7787|124.55267U28390|P8208|95.38407U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ8908,Q172984,45.0U28390,110U174789,45U174789,88830
,Q125191,Q35158,Bairro da Lapa; visto da Ladeira de Santa Teresa,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.91472/-43.18018|P2044|38.64048U11573|P7787|68.9361U28390|P8208|94.36117U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ8913,Q172984,45.0U28390,110U174789,45U174789,88742
,Q125191,Q35158,"""Pensão Schray"", atual Hotel Riazor",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1927-01-01T00:00:00Z/8|P580|+1922-01-01T00:00:00Z/9|P582|+1932-01-01T00:00:00Z/9,,,Q155,@-22.92664/-43.17674|P2044|7.55302U11573|P7787|26.5353U28390|P8208|101.41804U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ8914,Q172984,45.0U28390,110U174789,45U174789,83622
,Q125191,Q35158,Rua Riachuelo e bairro da Lapa; tomados de Santa Teresa,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1916-01-01T00:00:00Z/9|P580|+1916-01-01T00:00:00Z/9|P582|+1916-01-01T00:00:00Z/9,,,Q155,@-22.91531/-43.18231|P2044|36.11255U11573|P7787|-58.23461U28390|P8208|92.56565U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ9101,Q172984,45.0U28390,110U174789,45U174789,90799
,Q125191,Q35158,Praça Floriano Peixoto,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1910-01-01T00:00:00Z/8|P580|+1905-01-01T00:00:00Z/9|P582|+1915-01-01T00:00:00Z/9,,,Q155,@-22.91093/-43.17565|P2044|12.90278U11573|P7787|-46.16705U28390|P8208|88.72327U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ9102,Q172984,45.0U28390,110U174789,45U174789,90800
,Q125191,Q35158,Casa de Tobias Amaral,Fotografia de Guilherme Santos (002080RJ9103),Photograph by Guilherme Santos (002080RJ9103),+1916-01-01T00:00:00Z/9|P580|+1916-01-01T00:00:00Z/9|P582|+1916-01-01T00:00:00Z/9,,,Q155,@-22.91674/-43.18463|P2044|73.99094U11573|P7787|-8.95463U28390|P8208|95.52248U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ9103,Q172984,45.0U28390,110U174789,45U174789,83623
,Q125191,Q35158,Casa de Tobias Amaral,Fotografia de Guilherme Santos (002080RJ9104),Photograph by Guilherme Santos (002080RJ9104),+1916-01-01T00:00:00Z/9|P580|+1916-01-01T00:00:00Z/9|P582|+1916-01-01T00:00:00Z/9,,,Q155,@-22.91625/-43.1844|P2044|71.57842U11573|P7787|-106.14608U28390|P8208|98.69115U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ9104,Q172984,45.0U28390,110U174789,45U174789,83624
,Q125191,Q35158,Morro da Urca e Pão de Açúcar,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.95005/-43.17705|P2044|12.33427U11573|P7787|90.04805U28390|P8208|97.14861U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ9105,Q172984,45.0U28390,110U174789,45U174789,90801
,Q125191,Q35158,Banhistas na praia de Copacabana,Fotografia de Guilherme Santos (002080RJ9107),Photograph by Guilherme Santos (002080RJ9107),+1930-01-01T00:00:00Z/8|P580|+1925-01-01T00:00:00Z/9|P582|+1935-01-01T00:00:00Z/9,,,Q155,@-22.97475/-43.18644|P2044|8.39205U11573|P7787|-3.65465U28390|P8208|92.8957U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ9107,Q172984,45.0U28390,110U174789,45U174789,88743
,Q125191,Q35158,Banhistas na praia de Copacabana,Fotografia de Guilherme Santos (002080RJ9110),Photograph by Guilherme Santos (002080RJ9110),+1930-01-01T00:00:00Z/8|P580|+1925-01-01T00:00:00Z/9|P582|+1935-01-01T00:00:00Z/9,,,Q155,@-22.97631/-43.18778|P2044|8.48734U11573|P7787|-35.91594U28390|P8208|93.08725U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ9110,Q172984,45.0U28390,110U174789,45U174789,88744
,Q125191,,Morros da Urca e do Pão de Açúcar; tomados das proximidades da Avenida Pasteur,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1917-01-01T00:00:00Z/8|P580|+1912-01-01T00:00:00Z/9|P582|+1922-01-01T00:00:00Z/9,,,Q155,@-22.95049/-43.1767|P2044|12.10689U11573|P7787|94.82883U28390|P8208|87.95537U28390,,,,Q55088608,Q97570383,Q71989864,002080RJF0204,Q172984,47.38U28390,110U174789,45U174789,90802
,Q125191,Q35158,Lagoa Rodrigo de Freitas,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.97203/-43.20839|P2044|9.26503U11573|P7787|-105.74051U28390|P8208|91.71783U28390,,,,Q55088608,Q97570383,Q71989864,002080RJF0208,Q172984,49.57U28390,110U174789,45U174789,88745
,Q125191,Q35158,Morros da Urca e do Pão de Açúcar; tomados das proximidades da Rua General Severiano,Fotografia de Guilherme Santos (002080RJN0205),Photograph by Guilherme Santos (002080RJN0205),+1925-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1930-01-01T00:00:00Z/9,,,Q155,@-22.95099/-43.17552|P2044|9.90176U11573|P7787|101.80172U28390|P8208|90.87222U28390,,,,Q55088608,Q97570383,Q71989864,002080RJN0205,Q172984,44.84U28390,110U174789,45U174789,90803
,Q125191,Q35158,Avenida Rio Branco,Fotografia de Guilherme Santos (002080RJN0705),Photograph by Guilherme Santos (002080RJN0705),+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.90703/-43.17688|P2044|8.859U11573|P7787|-107.27802U28390|P8208|99.75151U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0705,Q172984,50.0U28390,110U174789,45U174789,90816
,Q125191,Q35158,"Mirante do Morro do Corcovado; ao fundo, o Pão de Açúcar",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1930-01-01T00:00:00Z/8|P580|+1925-01-01T00:00:00Z/9|P582|+1935-01-01T00:00:00Z/9,,,Q155,@-22.95187/-43.21014|P2044|705.78U11573|P7787|86.15875U28390|P8208|77.89234U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0506,Q172984,45.0U28390,110U174789,45U174789,90814
,Q125191,Q35158,Estrada da Gávea,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.99682/-43.26205|P2044|7.87063U11573|P7787|-96.80492U28390|P8208|96.04922U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0503,Q172984,45.0U28390,110U174789,45U174789,90813
,Q125191,Q35158,Estrada do Joá,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-23.01051/-43.29692|P2044|1.2U11573|P7787|48.94783U28390|P8208|96.72U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0502,Q172984,45.0U28390,110U174789,45U174789,90815
